,Title,Price,Image,Rate,Total_Rate
0,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Navy - 1 year Warranty","18,599",https://m.media-amazon.com/images/I/61ERH+yIyiL._AC_UL320_.jpg,4.0 out of 5 stars,"18,599"
1,Galaxy A15 Dual SIM 6GB Ram+128GB ROM (6.5 Inches) (4G LTE) - (Light Blue),"6,649",https://m.media-amazon.com/images/I/61cl1NEIrdL._AC_UL320_.jpg,3.9 out of 5 stars,"6,649"
2,"Galaxy A05 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Black","5,699",https://m.media-amazon.com/images/I/71dYQdmhwFL._AC_UL320_.jpg,3.8 out of 5 stars,"5,699"
3,"Galaxy A35 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Navy","14,439",https://m.media-amazon.com/images/I/61Dz4UF90XL._AC_UL320_.jpg,4.0 out of 5 stars,"14,439"
4,"A04S 3GB Ram, 32GB - Black","4,399",https://m.media-amazon.com/images/I/51P4huodC+L._AC_UL320_.jpg,3.8 out of 5 stars,"4,399"
5,"Galaxy M33, Dual SIM, 8GB RAM, 128GB Storage, 5G, Brown - 1 year Warranty","7,999",https://m.media-amazon.com/images/I/71rc4wx5L5L._AC_UL320_.jpg,3.9 out of 5 stars,"7,999"
6,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Iceblue - 1 year Warranty","18,599",https://m.media-amazon.com/images/I/71iDfC-A+GL._AC_UL320_.jpg,4.0 out of 5 stars,"18,599"
7,"Galaxy A05s, Android Smartphone, Dual SIM Mobile Phone, LTE, 6GB RAM, 128GB Storage, Black","5,850",https://m.media-amazon.com/images/I/61jBR+KUEDL._AC_UL320_.jpg,4.0 out of 5 stars,"5,850"
8,"Galaxy A05 LTE, Android Smartphone, Dual SIM, 6GB RAM, 128GB Storage, Black - 1 year Warranty","6,444",https://m.media-amazon.com/images/I/61xn0PNMjIL._AC_UL320_.jpg,3.6 out of 5 stars,"6,444"
9,"Galaxy A05 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 64GB Storage, Black","5,399",https://m.media-amazon.com/images/I/71dYQdmhwFL._AC_UL320_.jpg,3.9 out of 5 stars,"5,399"
10,WASHING MACHINE 9KG 1400RPM DIGITAL INVERTER STEAM INOX WW90T4040CX1AS- (local warranty),"21,399",https://m.media-amazon.com/images/I/51H0kUL24XL._AC_UL320_.jpg,4.1 out of 5 stars,"21,399"
11,"Galaxy S24 Ultra, AI Android Smartphone, 256GB Storage, 12GB RAM, 200MP Camera, S Pen, Long Battery Life, Titanium Black - 1 year Local Warranty","48,399",https://m.media-amazon.com/images/I/719HV2e6-sL._AC_UL320_.jpg,4.1 out of 5 stars,"48,399"
12,Galaxy A15 Dual SIM 8GB Ram+256GGB ROM (6.5 Inches) (4G LTE) - (Black),"8,075",https://m.media-amazon.com/images/I/514nSB8S9pL._AC_UL320_.jpg,3.9 out of 5 stars,"8,075"
13,A25 8-256 Light Blue,"11,089",https://m.media-amazon.com/images/I/614qsXB-XUL._AC_UL320_.jpg,3.8 out of 5 stars,"11,089"
14,"RB34T671FS9 No Frost 344 Liters - 13 Cubic Feet Refrigerator with Freezer on Bottom, Silver- (local warranty)","24,999",https://m.media-amazon.com/images/I/41wnwn6GjOL._AC_UL320_.jpg,4.3 out of 5 stars,"24,999"
15,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Lilac - 1 year Warranty","19,999",https://m.media-amazon.com/images/I/71HHuzT9m2L._AC_UL320_.jpg,4.0 out of 5 stars,"19,999"
16,WW80T4040CX1 Front Load with Hygiene Steam 8.0Kg- (local warranty),"20,999",https://m.media-amazon.com/images/I/51BgjX+VKPL._AC_UL320_.jpg,3.7 out of 5 stars,"20,999"
17,Galaxy A15 Dual SIM 4GB Ram+128GB ROM (6.5 Inches) (4G LTE) - (Yellow),"6,299",https://m.media-amazon.com/images/I/61hdrs3-MuL._AC_UL320_.jpg,3.9 out of 5 stars,"6,299"
18,Galaxy A15 Dual SIM 6GB Ram+128GB ROM (6.5 Inches) (4G LTE) - (Black Blue ),"6,666",https://m.media-amazon.com/images/I/61isHdQ+TDL._AC_UL320_.jpg,3.9 out of 5 stars,"6,666"
19,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Navy - 1 year Warranty","17,750",https://m.media-amazon.com/images/I/61ERH+yIyiL._AC_UL320_.jpg,4.4 out of 5 stars,"17,750"
20,"Galaxy A05s, Android Smartphone, Dual SIM Mobile Phone, LTE, 6GB RAM, 128GB Storage, Silver","6,099",https://m.media-amazon.com/images/I/61SDL9BHt6L._AC_UL320_.jpg,4.0 out of 5 stars,"6,099"
21,"Galaxy A05 LTE, Android Smartphone, Dual SIM, 6GB RAM, 128GB Storage, Light Green - 1 year Warranty","5,706",https://m.media-amazon.com/images/I/71W7+KmTwYL._AC_UL320_.jpg,3.6 out of 5 stars,"5,706"
22,Galaxy A15 Dual SIM 8GB Ram+256GGB ROM (6.5 Inches) (4G LTE) - (Light Blue),,https://m.media-amazon.com/images/I/51Cida8RecL._AC_UL320_.jpg,3.9 out of 5 stars,
23,"Galaxy A25 5G, Android Smartphone, Dual SIM Mobile Phone, 6GB RAM, 128GB Storage, Black - 1 year Warranty","9,949",https://m.media-amazon.com/images/I/61n8R-QRkUL._AC_UL320_.jpg,3.8 out of 5 stars,"9,949"
24,32 Inch Full HD Smart LED TV with Built-in Receiver - Black - UA32T5300AUXEG,"7,599",https://m.media-amazon.com/images/I/71iOlIb-3FL._AC_UL320_.jpg,4.1 out of 5 stars,"7,599"
25,"Galaxy S24 Ultra, AI Android Smartphone, 256GB Storage, 12GB RAM, 200MP Camera, S Pen, Long Battery Life, Titanium Gray - 1 year Local Warranty","46,600",https://m.media-amazon.com/images/I/713icYPjIZL._AC_UL320_.jpg,4.1 out of 5 stars,"46,600"
26,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Iceblue - 1 year Warranty","18,444",https://m.media-amazon.com/images/I/71iDfC-A+GL._AC_UL320_.jpg,4.4 out of 5 stars,"18,444"
27,"Galaxy A25 5G, Android Smartphone, Dual SIM Mobile Phone, 6GB RAM, 128GB Storage, Light Blue - 1 year Warranty","9,949",https://m.media-amazon.com/images/I/614qsXB-XUL._AC_UL320_.jpg,3.3 out of 5 stars,"9,949"
28,"Galaxy A35 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Navy (UAE Version)","13,420",https://m.media-amazon.com/images/I/61Dz4UF90XL._AC_UL320_.jpg,4.0 out of 5 stars,"13,420"
29,"Galaxy A05 LTE, Android Smartphone, Dual SIM, 6GB RAM, 128GB Storage, Silver - 1 year Warranty","6,666",https://m.media-amazon.com/images/I/61OpPAw757L._AC_UL320_.jpg,3.6 out of 5 stars,"6,666"
